generation,chromosome,patient_waiting_time,total_time_in_system,resource_utilization_balance,staff_workload_equity
0,12>7>8>13>11>1>20>22>4>14>3>17>7>16>18>19>3>22>6>1>14>9>20>20,25.99362106096129,27.00029089039346,0.6666666666666666,0.0014998248276943467
0,8>23>7>13>7>23>4>2>11>24>22>18>22>22>13>8>19>16>9>3>18>7>23>6,25.908852909147214,26.84375803856964,1.0,0.001302083136380386
0,23>4>7>4>3>1>2>5>2>15>17>10>8>13>22>21>2>5>6>6>14>10>2>9,25.89894502202146,27.5121793116128,0.8333333333333334,0.0038799912073575107
0,10>24>18>23>3>21>16>3>15>17>1>11>20>8>12>11>8>23>19>3>24>22>7>21,26.272600919774447,27.133418508105727,0.6666666666666666,0.0010735347970396013
0,10>6>15>8>1>11>12>6>14>14>17>16>16>8>19>14>11>16>9>13>18>22>23>13,26.24888044619144,27.072196359788734,0.8333333333333334,0.0009838104922397079
0,13>20>8>21>12>3>2>21>2>7>9>5>8>18>1>20>21>9>4>15>3>9>24>24,26.022702340888518,27.006564547958384,0.9166666666666666,0.001429432883323504
0,19>8>17>17>10>16>1>6>13>4>4>21>24>14>21>24>4>11>10>2>19>11>12>4,25.523537920883772,27.3558366760013,1.0,0.005153601406079065
0,5>22>2>6>8>12>15>12>3>6>21>16>16>17>19>2>9>13>9>21>12>19>21>13,25.947955588846607,26.654655133388435,1.0,0.0007417598650168164
0,22>15>21>9>12>13>3>10>23>16>5>9>5>1>23>11>8>15>1>7>17>16>24>15,26.268398879388826,27.177788118619382,0.6666666666666666,0.001198484487474393
0,12>19>22>18>24>19>21>3>18>11>14>16>24>24>7>18>18>9>3>1>19>12>24>12,26.345767961045112,26.834007573323824,1.5833333333333333,0.0003434347994786396
0,24>17>15>10>22>12>4>9>2>5>1>11>16>9>11>24>19>13>7>22>6>8>22>13,25.938242760006194,27.1211855730569,0.5833333333333334,0.0020799188886367766
0,18>15>16>8>6>8>4>21>7>14>20>19>11>12>24>17>20>22>19>5>14>3>16>23,26.069440556132893,27.11275844600966,0.4166666666666667,0.0016016583633170149
0,13>12>8>11>19>21>7>8>6>12>17>6>8>23>2>12>18>4>2>4>23>1>5>1,25.67113083675497,26.924275615484376,0.9166666666666666,0.0023829366537450043
0,8>2>1>9>1>4>18>17>18>8>22>15>4>4>17>5>13>24>1>1>24>15>4>22,25.370434019569345,26.994017481953207,1.5,0.004095372824989337
